name,id,z_inv,h_0,max_depth,map_x,map_y,a,b,c,bc,storage,table
66,66,-7,8.23E+00,inf,378583.1,186029.4,0,0,3.04E+05,FALSE,functional,*
67,67,-7.1,8.33E+00,inf,378122.1,180733.5,0,0,5.35E+05,FALSE,functional,*
68,68,304.7,0.00E+00,inf,376657.9,306604.6,0,0,1.00E+03,FALSE,functional,*
69,69,255.96,0.00E+00,inf,378640.3,315105.2,0,0,1.00E+03,FALSE,functional,*
70,70,210,0.00E+00,inf,376778.5,320565.5,0,0,1.00E+03,FALSE,functional,*
71,71,144.36,0.00E+00,inf,371433.3,327626.9,0,0,1.00E+03,FALSE,functional,*
72,72,98.65,0.00E+00,inf,364365,338594.9,0,0,1.00E+03,FALSE,functional,*
73,73,86.91,0.00E+00,inf,356622.3,340758.3,0,0,1.00E+03,FALSE,functional,*
74,74,105,0.00E+00,inf,368645,339341,0,0,1.00E+03,FALSE,functional,*
75,75,125,0.00E+00,inf,349398.1,327001.8,0,0,1.00E+03,FALSE,functional,*
76,76,104.05,0.00E+00,inf,348592.4,332605.4,0,0,1.00E+03,FALSE,functional,*
77,77,144.55,0.00E+00,inf,343386,372438.7,0,0,1.00E+03,FALSE,functional,*
78,78,120,0.00E+00,inf,347887.2,359238.8,0,0,1.00E+03,FALSE,functional,*
79,79,115,0.00E+00,inf,345364.1,360861.4,0,0,1.00E+03,FALSE,functional,*
80,80,100,0.00E+00,inf,341703.6,356352.4,0,0,1.00E+03,FALSE,functional,*
81,81,94.87,0.00E+00,inf,338724.6,356857.9,0,0,1.00E+03,FALSE,functional,*
82,82,79.97,0.00E+00,inf,333089.4,347708.9,0,0,1.00E+03,FALSE,functional,*
83,83,67.27,0.00E+00,inf,326716.3,345352.8,0,0,1.00E+03,FALSE,functional,*
84,84,52,0.00E+00,inf,316849.1,343945.1,0,0,1.00E+03,FALSE,functional,*
85,85,48,0.00E+00,inf,315884.9,342473.3,0,0,1.00E+03,FALSE,functional,*
86,86,93.2,0.00E+00,inf,330408.3,354415.5,0,0,1.00E+03,FALSE,functional,*
87,87,85,0.00E+00,inf,329486.3,351183.2,0,0,1.00E+03,FALSE,functional,*
