J_day,Sangju,Nakdan,Gumi,Chilgok,Gangjeong_Goryung,Dalsung,Hapcheon_Changnyung,Changnyung_Haman,Nakdongganghagoo
242,47.09,39.87,32.61,25.5,18.3,13.59,8.77,2.39,0.78
243,47.07,39.72,32.59,25.56,18.29,13.65,8.83,2.3,0.74
244,47.24,39.82,32.58,25.77,18.53,13.85,9.2,2.57,0.78
245,47.03,39.81,32.62,25.67,18.28,13.6,9.06,4.37,0.67
246,47.02,39.82,32.56,25.57,18.35,13.53,8.74,2.36,0.67
247,47.06,39.82,32.57,25.56,18.36,13.63,8.76,2.33,0.73
248,47.06,39.78,32.56,25.61,18.32,13.48,8.93,2.22,0.84
249,47.13,39.72,32.76,25.65,18.26,13.53,8.89,2.16,0.78
250,47.09,39.83,32.61,25.47,18.62,13.67,8.98,2.19,0.8
251,47.07,39.83,32.61,25.6,18.38,13.98,8.9,2.14,0.77
252,47.03,39.78,32.53,25.53,18.33,13.5,8.66,2.31,0.77
253,47.06,39.81,32.61,25.62,18.32,13.56,8.85,2.26,0.76
254,47.06,39.76,32.59,25.6,18.4,13.62,8.75,2.4,0.77
255,46.81,39.71,32.54,25.38,18.32,13.54,8.94,2.21,0.77
256,47.01,39.81,32.58,25.58,18.27,13.64,8.79,2.58,0.86
257,47.06,39.69,32.61,25.54,18.46,13.55,8.71,2.37,0.87
258,47.09,39.72,32.63,25.6,18.41,13.67,8.77,2.21,0.88
259,47.07,39.79,32.59,25.6,18.4,13.61,8.87,2.21,0.87
260,47.13,39.75,32.62,25.57,18.27,13.42,8.68,2.32,0.86
261,47.16,39.78,32.54,25.57,18.37,13.54,8.84,2.25,0.86
262,47.14,39.86,32.67,25.65,18.29,13.52,8.81,2.27,0.81
263,47.11,39.8,32.59,25.57,18.34,13.52,8.77,2.27,0.81
264,47.12,39.79,32.67,25.61,18.35,13.58,8.85,2.33,0.79
265,47.1,39.77,32.54,25.57,18.29,13.56,8.76,2.37,0.81
266,47.08,39.83,32.61,25.62,18.37,13.59,8.81,2.26,0.81
267,47.05,39.76,32.58,25.57,18.39,13.54,8.79,2.38,0.79
268,46.83,39.82,32.62,25.54,18.39,13.53,8.77,2.3,0.83
